Стимул,Реакція,Кількість реакцій,Загальна кількість реакцій,Кількість найчастіших реакцій,Тип асоціації
зневіра,розчарування,2,,,синонім
зневіра,смерть,2,,,слово контексту
зневіра,сум,2,,,синонім
зневіритися,в_собі,11,201,37,слово контексту
зневіритися,в_чомусь,11,,,слово контексту
зневіритися,в_комусь,8,,,слово контексту
зневіритися,розчаруватися,7,,,синонім
зневірятися,розчаровуватися,4,101,26,синонім
зневірятися,безнадія,4,,,слово контексту
зневірятися,в_чомусь,3,,,слово контексту
зневірятися,зрада,3,,,слово контексту
зневірятися,падати,3,,,синонім
зневірятися,погано,3,,,слово контексту
зневірятися,розчарування,3,,,слово контексту
зневірятися,у_собі,3,,,слово контексту
зненавидіти,когось,16,100,30,слово контексту
зненавидіти,людину,6,,,слово контексту
зненавидіти,ворог,4,,,слово контексту
зненавидіти,себе,4,,,слово контексту
зобовʼязаний,обовʼязок,10,101,16,слово контексту
зобовʼязаний,армія,6,,,слово контексту
зобовʼязання,обовʼязок,9,101,16,синонім
зобовʼязання,робота,4,,,слово контексту
зобовʼязання,відповідальність,3,,,слово контексту
зобовʼязати,себе,13,100,33,слово контексту
зобовʼязати,когось,8,,,слово контексту
зобовʼязати,зробити,5,,,слово контексту
зобовʼязати,обовʼязок,4,,,слово контексту
зобовʼязати,змусити,3,,,синонім
зобовʼязувати,когось,6,101,15,слово контексту
зобовʼязувати,примушувати,5,,,синонім
зобовʼязувати,заставляти,4,,,синонім
зорі,небо,25,102,49,слово контексту
зорі,ясні,19,,,слово контексту
зорі,місяць,5,,,слово контексту
зрадіти,щастя,5,99,15,слово контексту
зрадіти,чомусь,4,,,слово контексту
зрадіти,зустрічі,3,,,слово контексту
зрадіти,побачити,3,,,слово контексту
зробити,добро,11,99,29,слово контексту
зробити,добре,8,,,слово контексту
зробити,завдання,5,,,слово контексту
зробити,щось,5,,,слово контексту
зробитися,добрим,13,100,23,слово контексту
зробитися,стати,4,,,синонім
зробитися,злим,3,,,слово контексту
зробитися,кращим,3,,,слово контексту
зрозуміти,все,4,99,18,слово контексту
зрозуміти,когось,4,,,слово контексту
зрозуміти,суть,4,,,слово контексту
зрозуміти,розум,3,,,слово контексту
зрозуміти,себе,3,,,слово контексту
зручний,крісло,9,101,30,слово контексту
зручний,одяг,8,,,слово контексту
зручний,час,7,,,слово контексту
зручний,диван,6,,,слово контексту
зручність,крісло,13,101,31,слово контексту
зручність,комфорт,10,,,синонім
зручність,добре,8,,,слово контексту
зручно,сидіти,20,99,30,слово контексту
зручно,незручно,6,,,антонім
зручно,добре,4,,,слово контексту
імʼя,моє,11,102,29,слово контексту
імʼя,людина,6,,,слово контексту
імʼя,назва,6,,,слово контексту
імʼя,прізвище,6,,,слово контексту
інколи,ніколи,13,102,42,антонім
інколи,буває,10,,,синонім
інколи,завжди,10,,,слово контексту
інколи,деколи,9,,,синонім
їжа,смачна,11,101,24,слово контексту
їжа,смачно,7,,,слово контексту
їжа,хліб,6,,,слово контексту
їзда,кінь,16,101,40,слово контексту
їзда,верхи,9,,,слово контексту
їзда,машина,7,,,слово контексту
їзда,швидка,8,,,слово контексту
їздити,верхи,14,101,28,слово контексту
їздити,машина,9,,,слово контексту
їздити,на_машині,5,,,слово контексту
їсти,смачно,11,101,26,слово контексту
їсти,хліб,8,,,слово контексту
їсти,пити,7,,,слово контексту
їстися,сваритися,7,101,18,синонім
їстися,гризтися,6,,,синонім
їстися,сварка,5,,,слово контексту
їстівний,гриб,36,101,49,слово контексту
їстівний,фрукт,6,,,слово контексту
їстівний,продукт,7,,,слово контексту
їхати,додому,14,101,22,слово контексту
їхати,велосипед,4,,,слово контексту
їхати,машина,4,,,слово контексту
йти,пішки,12,101,26,слово контексту
йти,додому,8,,,слово контексту
йти,ноги,6,,,слово контексту
казати,правду,18,101,38,слово контексту
казати,говорити,11,,,синонім
казати,слово,9,,,слово контексту
калина,червона,41,102,59,слово контексту
калина,дерево,8,,,слово контексту
калина,малина,10,,,слово контексту
керівний,орган,22,101,35,слово контексту
керівний,директор,8,,,слово контексту
керівний,посада,5,,,слово контексту
керівник,директор,12,101,27,слово контексту
керівник,начальник,7,,,слово контексту
керівник,науковий,4,,,слово контексту
керівник,шеф,4,,,слово контексту
керівництво,влада,11,99,24,слово контексту
керівництво,директор,7,,,слово контексту
керівництво,посада,6,,,слово контексту
керувати,автомобіль,11,102,33,слово контексту
керувати,машина,7,,,слово контексту
керувати,влада,5,,,слово контексту
керувати,машиною,5,,,слово контексту
керувати,управляти,5,,,синонім
кінь,кобила,11,100,30,слово контексту
кінь,тварина,7,,,слово контексту
кінь,віз,4,,,слово контексту
кінь,сідло,4,,,слово контексту
кінь,швидкий,4,,,слово контексту
кликати,на_допомогу,16,101,45,слово контексту
кликати,допомога,12,,,слово контексту
кликати,когось,10,,,слово контексту
кликати,кричати,7,,,слово контексту
козак,Мамай,15,102,24,слово контексту
козак,шаровари,5,,,слово контексту
козак,воїн,4,,,слово контексту
коричневий,колір,28,103,44,слово контексту
коричневий,кора,6,,,слово контексту
коричневий,стіл,5,,,слово контексту
коричневий,фашизм,5,,,слово контексту
коріння,дерево,30,101,44,слово контексту
коріння,дерева,10,,,слово контексту
коріння,міцне,4,,,слово контексту
коханий,кохана,13,102,31,синонім
коханий,чоловік,13,,,слово контексту
коханий,хлопець,5,,,слово контексту
кохання,любов,14,101,25,синонім
кохання,серце,6,,,слово контексту
кохання,секс,5,,,слово контексту
кохати,дівчина,10,101,26,слово контексту
кохати,дівчину,9,,,слово контексту
кохати,любити,7,,,синонім
країна,Україна,39,100,48,слово контексту
країна,держава,9,,,слово контексту
край,рідний,19,98,28,слово контексту
край,земля,5,,,слово контексту
край,батьківщина,4,,,слово контексту
кров,червона,23,101,32,слово контексту
кров,група,5,,,слово контексту
кров,червоне,4,,,слово контексту
курка,яйце,23,100,39,слово контексту
курка,ряба,9,,,слово контексту
курка,півень,7,,,слово контексту
лад,порядок,8,101,27,синонім
лад,спокій,4,,,слово контексту
лад,гітара,3,,,слово контексту
лад,добре,3,,,слово контексту
лад,музика,3,,,слово контексту
лад,поганий,3,,,слово контексту
лад,устрій,3,,,слово контексту
ладен,готовий,8,101,23,синонім
ладен,бен,5,,,слово контексту
ладен,зробити,5,,,слово контексту
ладен,на_все,5,,,слово контексту
ладнати,справи,16,102,29,слово контексту
ладнати,ремонтувати,4,,,слово контексту
ладнати,компроміс,3,,,слово контексту
ладнати,ламати,3,,,антонім
ладнати,ремонт,3,,,слово контексту
ладний,гарний,14,101,31,слово контексту
ладний,на_все,5,,,слово контексту
ладний,готовий,4,,,слово контексту
ладний,добрий,4,,,слово контексту
ладний,хороший,4,,,слово контексту
лихий,поганий,19,101,44,синонім
лихий,чоловік,7,,,слово контексту
лихий,злий,18,,,синонім
лихо,біда,23,101,36,синонім
лихо,горе,8,,,синонім
лихо,з_розуму,5,,,слово контексту
лівий,правий,33,101,51,антонім
лівий,черевик,7,,,слово контексту
лівий,комуніст,6,,,слово контексту
лівий,бік,5,,,слово контексту
луна,місяць,25,101,44,синонім
луна,ехо,13,,,слово контексту
луна,гори,6,,,слово контексту
лунати,голосно,8,101,43,слово контексту
лунати,звук,7,,,слово контексту
лунати,місяць,7,,,слово контексту
лунати,ехо,6,,,слово контексту
лунати,звучати,5,,,синонім
лунати,луна,5,,,слово контексту
лунати,музика,5,,,слово контексту
любий,коханий,13,101,24,синонім
любий,друг,6,,,слово контексту
любий,будь-який,5,,,синонім
любити,кохати,18,102,30,синонім
любити,дівчина,7,,,слово контексту
любити,дівчину,5,,,слово контексту
любов,кохання,16,101,19,синонім
любов,секс,3,,,слово контексту
людина,істота,8,100,20,слово контексту
людина,тварина,7,,,слово контексту
людина,розумна,5,,,слово контексту
людяний,добрий,28,101,40,слово контексту
людяний,чоловік,8,,,слово контексту
людяний,гуманний,4,,,слово контексту
людяність,доброта,18,99,38,слово контексту
людяність,добро,8,,,слово контексту
людяність,людина,6,,,слово контексту
людяність,порядність,6,,,слово контексту
лякати,страх,16,101,34,слово контексту
лякати,когось,8,,,слово контексту
лякати,страшити,10,,,синонім
лякатися,страх,16,102,29,слово контексту
лякатися,боятися,9,,,синонім
лякатися,небезпеки,4,,,слово контексту
майбутнє,минуле,6,99,20,антонім
майбутнє,життя,5,,,слово контексту
майбутнє,світло,5,,,слово контексту
майбутнє,світле,4,,,слово контексту
майбутній,час,27,101,37,слово контексту
майбутній,день,4,,,слово контексту
майбутній,чоловік,3,,,слово контексту
майбутній,програміст,3,,,слово контексту
мати,рідна,7,199,51,слово контексту
мати,батько,9,,,слово контексту
мати,мама,4,,,синонім
мати,гроші,19,,,слово контексту
мати,щось,8,,,слово контексту
мати,власність,4,,,слово контексту
минати,час,13,101,29,слово контексту
минати,когось,7,,,слово контексту
минати,роки,5,,,слово контексту
минати,стовп,4,,,слово контексту
минуле,дитинство,11,98,29,слово контексту
минуле,майбутнє,11,,,антонім
минуле,історія,7,,,слово контексту
минулий,час,26,101,52,слово контексту
минулий,рік,18,,,слово контексту
минулий,день,8,,,слово контексту
минути,час,9,99,18,слово контексту
минути,пройти,6,,,синонім
минути,щось,3,,,слово контексту
мислення,думка,11,99,30,слово контексту
мислення,розум,19,,,слово контексту
мислити,думати,25,101,40,синонім
мислити,логічно,8,,,слово контексту
мислити,існувати,7,,,слово контексту
міркування,думка,17,101,33,синонім
міркування,роздуми,8,,,синонім
міркування,думки,8,,,синонім
міркувати,думати,15,101,31,синонім
міркувати,думка,6,,,слово контексту
міркувати,мислити,5,,,синонім
міркувати,роздумувати,5,,,синонім
місто,Львів,25,99,35,слово контексту
місто,село,6,,,слово контексту
місто,цивілізація,4,,,слово контексту
міський,голова,21,101,45,слово контексту
міський,транспорт,17,,,слово контексту
міський,сільський,7,,,слово контексту
місяць,повний,15,102,46,слово контексту
місяць,ясний,16,,,слово контексту
місяць,ніч,7,,,слово контексту
місяць,зорі,8,,,слово контексту
мова,українська,18,99,55,слово контексту
мова,рідна,28,,,слово контексту
мова,спілкування,9,,,слово контексту
мовити,говорити,19,101,44,синонім
мовити,слово,17,,,слово контексту
мовити,сказати,8,,,синонім
мовний,барʼєр,12,101,22,слово контексту
мовний,зворот,5,,,слово контексту
мовний,словник,5,,,слово контексту
мовчазний,хлопець,13,101,17,слово контексту
мовчазний,соромʼязливий,4,,,слово контексту
мовчання,золото,15,101,34,слово контексту
мовчання,ягнят,15,,,слово контексту
мовчання,тиша,4,,,слово контексту
мовчати,німий,7,101,20,слово контексту
мовчати,не_говорити,4,,,антонім
мовчати,довго,3,,,слово контексту
мовчати,тихо,3,,,слово контексту
мовчати,тиша,3,,,слово контексту
мовчки,сидіти,12,99,26,слово контексту
мовчки,тихо,9,,,слово контексту
мовчки,думати,5,,,слово контексту
могти,зробити,13,101,32,слово контексту
могти,робити,9,,,слово контексту
могти,сила,5,,,слово контексту
могти,хотіти,5,,,слово контексту
можливий,варіант,16,101,28,слово контексту
можливий,випадок,6,,,слово контексту
можливий,реальний,6,,,слово контексту
можливість,шанс,6,99,15,синонім
можливість,велика,3,,,слово контексту
можливість,гроші,3,,,слово контексту
можливість,спроба,3,,,слово контексту
можливо,неможливо,10,99,23,антонім
можливо,зробити,9,,,слово контексту
можливо,все,4,,,слово контексту
можна,дозвіл,6,100,24,слово контексту
можна,не_можна,6,,,антонім
можна,зробити,6,,,слово контексту
можна,треба,6,,,слово контексту
молода,дівчина,32,101,51,слово контексту
молода,дружина,7,,,слово контексту
молода,Галичина,6,,,слово контексту
молода,жінка,6,,,слово контексту
молодий,чоловік,10,100,25,слово контексту
молодий,хлопець,8,,,слово контексту
молодий,я,7,,,слово контексту
молодість,радість,9,99,20,слово контексту
молодість,старість,7,,,слово контексту
молодість,юність,4,,,синонім
молодіти,душею,5,98,23,слово контексту
молодіти,на_очах,9,,,слово контексту
молодіти,старіти,9,,,антонім
молодо,виглядати,26,103,34,слово контексту
молодо,зелено,4,,,слово контексту
молодо,молодість,4,,,слово контексту
молодь,люди,4,101,19,синонім
молодь,дурна,3,,,слово контексту
молодь,золота,3,,,слово контексту
молодь,старість,3,,,антонім
молодь,студенти,3,,,синонім
молодь,юність,3,,,синонім
мрія,бажання,5,99,14,синонім
мрія,літак,5,,,слово контексту
мрія,мета,4,,,синонім
мріяти,про_щось,6,101,14,слово контексту
мріяти,думати,4,,,синонім
мріяти,про_майбутнє,4,,,слово контексту
мусити,зробити,12,101,29,слово контексту
мусити,обовʼзок,12,,,синонім
мусити,робити,5,,,слово контексту
наближати,кінець,8,101,19,слово контексту
наближати,до_себе,6,,,слово контексту
наближати,майбутнє,5,,,слово контексту
наближатися,до_мети,14,98,27,слово контексту
наближатися,мета,7,,,слово контексту
наближатися,до_когось,6,,,слово контексту
наблизити,до_себе,9,99,19,слово контексту
наблизити,час,4,,,слово контексту
наблизити,до_мети,3,,,слово контексту
наблизити,кінець,3,,,слово контексту
наблизитися,до_мети,11,104,25,слово контексту
наблизитися,підійти,8,,,слово контексту
наблизитися,до_когось,6,,,слово контексту
назва,імʼя,27,99,30,синонім
назва,твір,3,,,слово контексту
назвати,імʼя,32,104,43,слово контексту
назвати,слово,7,,,слово контексту
назвати,когось,4,,,слово контексту
назватися,імʼя,22,100,36,слово контексту
назватися,кимось,6,,,слово контексту
назватися,іменем,4,,,слово контексту
назватися,імʼям,4,,,слово контексту
називати,імʼя,29,100,42,слово контексту
називати,когось,7,,,слово контексту
називати,імена,6,,,слово контексту
називатися,імʼя,32,98,44,слово контексту
називатися,людиною,7,,,слово контексту
називатися,іменем,5,,,слово контексту
наказ,доручення,3,99,12,синонім
наказ,закон,3,,,синонім
наказ,президента,3,,,слово контексту
наказ,примус,3,,,синонім
наказати,комусь,9,100,15,слово контексту
наказати,зробити,6,,,слово контексту
наказувати,робити,7,100,19,слово контексту
наказувати,комусь,4,,,слово контексту
наказувати,кричати,4,,,синонім
наказувати,начальник,4,,,слово контексту
народ,люди,10,99,24,синонім
народ,український,8,,,слово контексту
народ,нація,6,,,синонім
народний,депутат,28,100,44,слово контексту
народний,дім,6,,,слово контексту
народний,артист,5,,,слово контексту
народний,танець,5,,,слово контексту
насмілитися,підійти,5,103,40,слово контексту
насмілитися,зробити,13,,,слово контексту
насмілитися,сказати,22,,,слово контексту
насправді,дійсно,10,102,20,синонім
насправді,правда,7,,,синонім
насправді,брехня,3,,,антонім
настрашитися,когось,6,102,20,слово контексту
настрашитися,страх,6,,,синонім
настрашитися,чогось,5,,,слово контексту
настрашитися,боятися,3,,,синонім
небесний,ангел,6,100,21,слово контексту
небесний,птах,6,,,слово контексту
небесний,Бог,5,,,слово контексту
небесний,хмари,4,,,слово контексту
небо,синє,17,98,43,слово контексту
небо,голубе,10,,,слово контексту
небо,земля,9,,,антонім
небо,хмари,7,,,слово контексту
невірно,відповісти,6,102,22,слово контексту
невірно,помилка,6,,,синонім
невірно,зрозуміти,5,,,слово контексту
невірно,сказати,5,,,слово контексту
недарма,дарма,6,102,18,антонім
недарма,кажуть,6,,,слово контексту
недарма,працювати,3,,,слово контексту
недарма,робити,3,,,слово контексту
незалежний,вільний,17,100,32,синонім
незалежний,держава,5,,,слово контексту
незалежний,Україна,10,,,слово контексту
незалежність,Україна,18,101,34,слово контексту
незалежність,воля,8,,,синонім
незалежність,свобода,8,,,синонім
незручний,одяг,9,100,30,слово контексту
незручний,крісло,7,,,слово контексту
незручний,поганий,7,,,слово контексту
незручний,час,7,,,слово контексту
незручність,погано,5,101,21,синонім
незручність,дискомфорт,4,,,синонім
незручність,крісло,2,,,слово контексту
незручність,парта,2,,,слово контексту
незручність,прокладка,2,,,слово контексту
незручність,сором,2,,,синонім
незручність,тролейбус,2,,,слово контексту
незручність,час,2,,,слово контексту
незручно,сидіти,17,100,38,слово контексту
незручно,почуватися,9,,,слово контексту
незручно,дискомфорт,3,,,синонім
незручно,зручно,3,,,антонім
незручно,почуватися,3,,,слово контексту
незручно,сказати,3,,,слово контексту
неймовірний,випадок,8,100,16,слово контексту
неймовірний,вчинок,4,,,слово контексту
неймовірний,день,4,,,слово контексту
ненавидіти,ворог,6,100,28,слово контексту
ненавидіти,зло,6,,,синонім
ненавидіти,когось,6,,,слово контексту
ненавидіти,любити,5,,,антонім
ненавидіти,не_любити,5,,,синонім
ненависть,злість,8,100,33,синонім
ненависть,зло,9,,,синонім
ненависть,ворог,6,,,слово контексту
ненависть,гнів,10,,,синонім
неприємний,запах,43,100,57,слово контексту
неприємний,смак,7,,,слово контексту
неприємний,чоловік,4,,,слово контексту
неприємний,поганий,3,,,синонім
неприємність,халепа,6,99,12,синонім
неприємність,біль,3,,,синонім
неприємність,зло,3,,,синонім
неприємно,погано,7,102,15,синонім
неприємно,пахнути,4,,,слово контексту
неприємно,приємно,4,,,антонім
ніс,обличчя,12,102,30,слово контексту
ніс,довгий,10,,,слово контексту
ніс,рот,8,,,слово контексту
ніч,день,15,99,50,антонім
ніч,темно,11,,,слово контексту
ніч,темна,7,,,слово контексту
ніч,сон,6,,,слово контексту
ніч,темрява,6,,,слово контексту
ніч,темнота,5,,,слово контексту
нічний,клуб,8,100,33,слово контексту
нічний,сторж,8,,,слово контексту
нічний,гість,7,,,слово контексту
нічний,птах,5,,,слово контексту
нічний,темний,5,,,синонім
новий,одяг,17,100,43,слово контексту
новий,канал,8,,,слово контексту
новий,автомобіль,6,,,слово контексту
новий,день,6,,,слово контексту
новий,старий,6,,,антонім
новина,приємна,7,99,17,слово контексту
новина,звістка,5,,,синонім
новина,хороша,5,,,слово контексту
новітній,сучасний,9,98,30,синонім
новітній,історія,7,,,слово контексту
новітній,світ,7,,,слово контексту
новітній,час,7,,,слово контексту
нога,рука,16,102,32,антонім
нога,довга,6,,,слово контексту
нога,взуття,5,,,слово контексту
нога,ліва,5,,,слово контексту
обіцянка,цяцянка,25,99,39,слово контексту
обіцянка,виконання,5,,,слово контексту
обіцянка,слово,5,,,слово контексту
обіцянка,обов’язок,4,,,синонім
обіцяти,виконувати,7,100,22,слово контексту
обіцяти,щось,6,,,слово контексту
обіцяти,брехати,5,,,слово контексту
обіцяти,обовʼязок,4,,,синонім
обличчя,лице,7,99,13,синонім
обличчя,людина,6,,,слово контексту
обман,зрада,13,102,33,синонім
обман,брехня,8,,,синонім
обман,правда,8,,,антонім
обман,неправда,4,,,синонім
обовʼязковий,екзамен,6,100,17,слово контексту
обовʼязковий,предмет,6,,,слово контексту
обовʼязковий,обовʼязок,5,,,слово контексту
обовʼязково,зробити,11,102,25,слово контексту
обовʼязково,зроблю,5,,,слово контексту
обовʼязково,треба,5,,,слово контексту
обовʼязково,потрібно,4,,,синонім
обовʼязок,зобовʼязання,4,99,16,синонім
обовʼязок,армія,3,,,слово контексту
обовʼязок,виконання,3,,,слово контексту
обовʼязок,необхідність,3,,,синонім
обовʼязок,робота,3,,,слово контексту
одруження,сімʼя,6,99,20,слово контексту
одруження,відповідальність,5,,,слово контексту
одруження,шлюб,5,,,синонім
одруження,обов’язок,4,,,слово контексту
одружити,когось,6,102,19,слово контексту
одружити,сімʼя,5,,,слово контексту
одружити,дітей,4,,,слово контексту
одружити,сина,4,,,слово контексту
одружитися,з_кимось,8,100,22,слово контексту
одружитися,сімʼя,6,,,слово контексту
одружитися,весілля,4,,,слово контексту
одружитися,з_коханою,4,,,слово контексту
одружувати,весілля,10,100,19,слово контексту
одружувати,когось,5,,,слово контексту
одружувати,сина,4,,,слово контексту
одружуватися,жінка,8,98,25,слово контексту
одружуватися,весілля,7,,,слово контексту
одружуватися,з_дівчиною,6,,,слово контексту
одружуватися,женитися,4,,,слово контексту
озлитися,на_когось,11,100,28,слово контексту
озлитися,гнів,7,,,синонім
озлитися,на_себе,4,,,слово контексту
озлитися,гнів,3,,,синонім
озлитися,собака,3,,,слово контексту
око,зір,15,99,27,слово контексту
око,око,6,,,синонім
око,ніс,6,,,слово контексту
оселитися,дім,8,102,20,слово контексту
оселитися,будинок,7,,,слово контексту
оселитися,вдома,5,,,слово контексту
оселя,дім,24,99,57,синонім
оселя,будинок,14,,,синонім
оселя,хата,11,,,синонім
оселя,квартира,6,,,синонім
оселя,сім’я,2,,,слово контексту
оселятися,дім,15,100,29,слово контексту
оселятися,хата,8,,,слово контексту
оселятися,новосілля,6,,,слово контексту
охоче,робити,6,102,18,слово контексту
охоче,допомогти,4,,,слово контексту
